AIRLINE,COUNTRY,INFORMATION
Toumai Air Tchad,  Chad, inactive (with supported aircraft)
Tower Air,  USA, inactive (with supported aircraft)
Toyo Aviation,  Romania,  1 aircraft 
Trade Air,  Croatia,  5 aircraft 
Tradewinds Airlines,  USA, inactive (with supported aircraft)Renamed / Merged to SkyLease Cargo
Tradewinds Airlines (Singapore),  Singapore, inactive (with supported aircraft)Renamed / Merged to Silkair
Tramon Air,  South Africa, inactive (with supported aircraft)
Tranmandu,  Venezuela, inactive (with supported aircraft)
Trans Air,  USA,  1 aircraft 
Trans Air Service,  Nigeria, inactive (with supported aircraft)
Trans Airways,  Eswatini, inactive (with supported aircraft)
Trans Am Aero Express del Ecuador,  Ecuador,  1 aircraft 
Trans American Charter,  USA, inactive (with supported aircraft)
Trans Australia,  Australia, inactive (with supported aircraft)Renamed / Merged to Australian Airlines
Trans Guyana Airways,  Guyana,  2 aircraft 
Trans Intercontinental Air,  USA, inactive (with supported aircraft)
Trans International Airlines,  USA, inactive (with supported aircraft)Renamed / Merged to Transamerica Airlines
Trans Island Airways,  Bahamas, inactive (with supported aircraft)
Trans Maldivian Airways,  Maldives, inactive (with supported aircraft)
Trans Mediterranean Airways,  Lebanon, inactive (with supported aircraft)
Trans Nation Airways,  Ethiopia,  2 aircraft 
Trans States Airlines,  USA, inactive (with supported aircraft)
Trans Travel Airlines,  Netherlands, inactive (with supported aircraft)
Trans World Express,  USA, inactive (with supported aircraft)
Trans-Jamaican Airlines,  Jamaica, inactive (with supported aircraft)Renamed / Merged to ECXpress
TransAer,  Ireland, inactive (with supported aircraft)
Transaero Airlines,  Russia, inactive (with supported aircraft)
Transafrican Air,  Kenya,  1 aircraft 
Transair,  Canada, inactive (with supported aircraft)
Transair Congo,  Congo,  1 aircraft 
Transair International Linhas Aereas,  Brazil, inactive (with supported aircraft)
TransAir Senegal,  Senegal,  3 aircraft 
Transair Sweden,  Sweden, inactive (with supported aircraft)
Transalsace,  France, inactive (with supported aircraft)
Transamerica Airlines,  USA, inactive (with supported aircraft)
Transasia Airways,  Taiwan, inactive (with supported aircraft)
TransAtlantic Airlines,  USA, inactive (with supported aircraft)
Transatlantic International Airlines,  USA, inactive (with supported aircraft)
Transavia Airlines,  Netherlands,  46 aircraft 
Transavia Denmark,  Denmark, inactive (with supported aircraft)
Transavia Export,  Belarus, inactive (with supported aircraft)
Transavia France,  France,  67 aircraft 
Transbrasil,  Brazil, inactive (with supported aircraft)
Transcarga International Airways,  Venezuela, inactive (with supported aircraft)
TransGlobal Airways,  Philippines, inactive (with supported aircraft)
Transjet Airways,  Sweden, inactive (with supported aircraft)
TranSky,  Nigeria, inactive (with supported aircraft)
Translift Airways,  Ireland, inactive (with supported aircraft)Renamed / Merged to TransAer
Transmandu,  Venezuela,  2 aircraft 
Transmed,  Egypt, inactive (with supported aircraft)
Transmeridian,  USA, inactive (with supported aircraft)
TransMile,  Malaysia, inactive (with supported aircraft)Renamed / Merged to Raya Airways
TransNusa,  Indonesia,  6 aircraft 
Transpac Express,  New Zealand, inactive (with supported aircraft)
Transport Canada,  Canada, inactive (with supported aircraft)
Transporte Aereo Militar (TAM),  Bolivia, inactive (with supported aircraft)
Transportes Aereos Nacionales,  Honduras, inactive (with supported aircraft)Renamed / Merged to SAHSA
Transportes Aereos Neuquen,  Argentina, inactive (with supported aircraft)
Transportes Aereos Regionales,  Mexico,  7 aircraft 
Transtar Airlines,  USA, inactive (with supported aircraft)
Transtar Airlines (1993),  USA, inactive (with supported aircraft)
Transwede,  Sweden, inactive (with supported aircraft)Renamed / Merged to Malmo Aviation
Transwede Airways,  Sweden, inactive (with supported aircraft)
Transwest Air,  Canada, inactive (with supported aircraft)Renamed / Merged to Rise Air
Transwisata Airlines,  Indonesia, inactive (with supported aircraft)
Travel Air,  Papua New Guinea, inactive (with supported aircraft)
Travel City Direct,  United Kingdom, inactive (with supported aircraft)
Travel Service,  Czech Republic, inactive (with supported aircraft)Renamed / Merged to SmartWings
Travel Service Espana - Visig,  Spain, inactive (with supported aircraft)Renamed / Merged to AirClass Airways
Travel Service Hungary,  Hungary, inactive (with supported aircraft)
Travel Service Poland,  Poland, inactive (with supported aircraft)
Travel Service Slovakia,  Slovakia, inactive (with supported aircraft)Renamed / Merged to Smartwings Slovakia
Travira Air,  Indonesia,  5 aircraft 
Travya,  Indonesia,  3 aircraft 
Trawel Fly,  Italy, inactive (with supported aircraft)
Tri-M.G. Intra Asia Airlines ,  Indonesia, inactive (with supported aircraft)Renamed / Merged to Asia Cargo Airlines
Trigana Air Service,  Indonesia,  15 aircraft 
TRIP,  Brazil, inactive (with supported aircraft)Renamed / Merged to Azul Linhas Aereas
Tristar Air,  Egypt, inactive (with supported aircraft)
Tristar Airlines,  USA, inactive (with supported aircraft)
Tropical Air,  Tanzania,  2 aircraft 
Tropical Transport Services,  Puerto Rico, inactive (with supported aircraft)
TruJet,  India, inactive (with supported aircraft)
Trygg Flyg,  Sweden, inactive (with supported aircraft)
Tsaradia,  Madagascar,  2 aircraft 
TUI Airlines Belgium,  Belgium,  28 aircraft 
TUI Airlines Nederland,  Netherlands,  14 aircraft 
TUI Airways,  United Kingdom,  74 aircraft 
TUIfly,  Germany,  24 aircraft 
TUIfly Nordic,  Sweden,  4 aircraft 
Tulpar Air,  Russia,  3 aircraft 
TUM AeroCarga,  Mexico,  9 aircraft 
Tuninter,  Tunisia, inactive (with supported aircraft)Renamed / Merged to Sevenair
Tunisair,  Tunisia,  17 aircraft 
Tunisair Express,  Tunisia,  2 aircraft 
Tur Avrupa,  Turkey, inactive (with supported aircraft)
Turkmenistan Airlines,  Turkmenistan,  14 aircraft 
Turkmenistan Gvmt,  Turkmenistan,  2 aircraft 
Turkuaz Air,  Turkey, inactive (with supported aircraft)
Turpial Airlines,  Venezuela,  3 aircraft 
Tus Airways,  Cyprus,  5 aircraft 
TWA,  USA, inactive (with supported aircraft)Renamed / Merged to American Airlines
Tway Air,  South Korea,  29 aircraft 
Twin Jet,  France,  12 aircraft 
Twinjet Aircraft,  United Kingdom, inactive (with supported aircraft)
Tyrolean Airways,  Austria, inactive (with supported aircraft)Renamed / Merged to Austrian Arrows
Tyrolean Jet Service,  Austria, inactive (with supported aircraft)
U Airlines,  Thailand, inactive (with supported aircraft)
U Land Airlines,  Taiwan, inactive (with supported aircraft)
Uair,  Uruguay, inactive (with supported aircraft)
UAS,  USA, inactive (with supported aircraft)
Uep! Fly,  Spain, inactive (with supported aircraft)
Ufly Airways,  USA, inactive (with supported aircraft)
Uganda Airlines,  Uganda,  6 aircraft 
UK International Airlines,  United Kingdom, inactive (with supported aircraft)
Ukraine Government,  Ukraine,  1 aircraft 
Ukraine International Airlines,  Ukraine, inactive (with supported aircraft)
Ukrainian Wings,  Ukraine, inactive (with supported aircraft)
ULS Airlines Cargo,  Turkey,  3 aircraft 
Ultra Air,  Colombia, inactive (with supported aircraft)
UM Air,  Ukraine, inactive (with supported aircraft)
UmzaXpress,  Nigeria,  2 aircraft 
Unex,  Brazil, inactive (with supported aircraft)
Uni Air,  Taiwan,  14 aircraft 
Uni-Top Airlines,  China, inactive (with supported aircraft)
Unifly,  Italy, inactive (with supported aircraft)
Union Aviation,  Latvia,  4 aircraft 
United Airlines,  USA,  921 aircraft 
United Airways,  Bangladesh, inactive (with supported aircraft)
United Arab Emirates Air Force,  United Arab Emirates,  5 aircraft 
United Arab Emirates Gvmt,  United Arab Emirates,  1 aircraft 
United Aviation Libya,  Libya, inactive (with supported aircraft)
United Eagle Airlines,  China, inactive (with supported aircraft)Renamed / Merged to Chengdu Airlines
United Nigeria Airlines,  Nigeria,  2 aircraft 
Unity Air,  Ghana, inactive (with supported aircraft)
Unity Air Zanzibar,  Tanzania, inactive (with supported aircraft)
Universair,  Spain, inactive (with supported aircraft)Renamed / Merged to Meridiana Air
Universal Airlines,  Guyana, inactive (with supported aircraft)
Universal Sky Carrier,  Germany, inactive (with supported aircraft)
Up Airlines,  Israel, inactive (with supported aircraft)Renamed / Merged to El Al
UPS,  USA,  284 aircraft 
UR Airlines,  Iraq,  1 aircraft 
Ural Airlines,  Russia,  51 aircraft 
Urumqi Air,  China,  17 aircraft 
US Air,  USA, inactive (with supported aircraft)Renamed / Merged to US Airways
US Air Force,  USA,  116 aircraft 
US Airways,  USA, inactive (with supported aircraft)Renamed / Merged to American Airlines
US Army,  USA,  5 aircraft 
US Navy,  USA,  126 aircraft 
US Transportation Command,  USA, inactive (with supported aircraft)
US-Bangla,  Bangladesh,  20 aircraft 
USA 3000,  USA, inactive (with supported aircraft)
USA Jet Airlines,  USA,  8 aircraft 
uSky Air,  South Korea, inactive (with supported aircraft)
UT Air Ukraine,  Ukraine, inactive (with supported aircraft)Renamed / Merged to Azur Air Ukraine
UTA,  France, inactive (with supported aircraft)Renamed / Merged to Air France
UTair,  Russia,  54 aircraft 
UTair Express,  Russia, inactive (with supported aircraft)
UVT Aero,  Russia,  6 aircraft 
Uzbekistan Airways,  Uzbekistan,  33 aircraft 
Uzbekistan Express,  Uzbekistan,  4 aircraft 
Uzbekistan Government,  Uzbekistan,  5 aircraft 
V Air,  Taiwan, inactive (with supported aircraft)
V Australia,  Australia, inactive (with supported aircraft)Renamed / Merged to Virgin Australia
V Bird,  Netherlands, inactive (with supported aircraft)
Vacationair,  Canada, inactive (with supported aircraft)
Val Air,  Canada, inactive (with supported aircraft)
Valahia Air,  Romania, inactive (with supported aircraft)
Valletta Airlines,  Malta,  1 aircraft 
VallJet,  France,  5 aircraft 
Valorfly,  Malta, inactive (with supported aircraft)
Valuair,  Singapore, inactive (with supported aircraft)
ValueJet,  Nigeria,  3 aircraft 
Valujet Airlines,  USA, inactive (with supported aircraft)Renamed / Merged to airTran
Vanair,  Vanuatu, inactive (with supported aircraft)
Vanguard Airlines,  USA, inactive (with supported aircraft)
Vanilla Air,  Japan, inactive (with supported aircraft)Renamed / Merged to Peach aviation
Varesh Airlines,  Iran,  6 aircraft 
Varig,  Brazil, inactive (with supported aircraft)Renamed / Merged to GOL Transportes Aereos
VARIG Logistica,  Brazil, inactive (with supported aircraft)
Varmlandsflyg,  Sweden, inactive (with supported aircraft)Renamed / Merged to Swedline Express
VARSA,  Mexico, inactive (with supported aircraft)
Vasco - Vietnam Air Services Company,  Vietnam,  5 aircraft 
VASP,  Brazil, inactive (with supported aircraft)
VECA Airlines,  El Salvador, inactive (with supported aircraft)
Velvet Sky,  South Africa, inactive (with supported aircraft)
Venezolana,  Venezuela,  2 aircraft 
Venezuelan Air Force,  Venezuela, inactive (with supported aircraft)
Venezuelan Government,  Venezuela, inactive (with supported aircraft)
Vensecar Internacional,  Venezuela,  1 aircraft 
Venus Airlines,  Greece, inactive (with supported aircraft)
Vertir Airlines,  Armenia, inactive (with supported aircraft)
Veteran Avia,  Armenia, inactive (with supported aircraft)
VG Airlines,  Belgium, inactive (with supported aircraft)
Via Airlines,  USA, inactive (with supported aircraft)
Via Airways,  Bulgaria, inactive (with supported aircraft)Renamed / Merged to Fly2Sky
Viaggio Air,  Bulgaria, inactive (with supported aircraft)Renamed / Merged to Hemus Air
Viasa,  Venezuela, inactive (with supported aircraft)
Vibro Air,  Germany, inactive (with supported aircraft)
VICA,  Brazil, inactive (with supported aircraft)
Victoria Airlines,  Italy, inactive (with supported aircraft)
Victory Air,  USA,  10 aircraft 
VietJetAir,  Vietnam,  82 aircraft 
Vietnam Air Service Company,  Vietnam, inactive (with supported aircraft)
Vietnam Airlines,  Vietnam,  93 aircraft 
Vietravel Airlines,  Vietnam,  3 aircraft 
Vietstar Airlines,  Vietnam,  1 aircraft 
VigoJet,  Mexico, inactive (with supported aircraft)
Viking Airlines,  Sweden, inactive (with supported aircraft)
Viking Hellas Airlines,  Greece, inactive (with supported aircraft)
VIM Airlines,  Russia, inactive (with supported aircraft)
Vincent Aviation Australia,  Australia, inactive (with supported aircraft)
Vincent Aviation New Zealand,  New Zealand, inactive (with supported aircraft)
Virgin America,  USA, inactive (with supported aircraft)Renamed / Merged to Alaska Airlines
Virgin Atlantic,  United Kingdom,  41 aircraft 
Virgin Australia,  Australia,  85 aircraft 
Virgin Australia NZ,  New Zealand, inactive (with supported aircraft)
Virgin Australia Regional Airlines,  Australia,  14 aircraft 
Virgin Blue Airlines,  Australia, inactive (with supported aircraft)Renamed / Merged to Virgin Australia
Virgin Express,  Belgium, inactive (with supported aircraft)Renamed / Merged to Brussels Airlines
Virgin Express France,  France, inactive (with supported aircraft)
Virgin Express Ireland,  Ireland, inactive (with supported aircraft)
Virgin Nigeria,  Nigeria, inactive (with supported aircraft)Renamed / Merged to Nigerian Eagle Airlines
Virgin Samoa,  West Samoa, inactive (with supported aircraft)
Virgin Sun Airlines,  United Kingdom, inactive (with supported aircraft)Renamed / Merged to Air 2000
Viscount Air Service,  USA, inactive (with supported aircraft)
Vision Air International,  Pakistan,  2 aircraft 
Vision Airlines,  USA, inactive (with supported aircraft)
Vista Georgia,  Georgia, inactive (with supported aircraft)
Vista Jet,  Austria,  5 aircraft 
Vistajet,  Canada, inactive (with supported aircraft)
Vistara,  India,  60 aircraft 
Viva Air,  Spain, inactive (with supported aircraft)
Viva Air Peru,  Peru, inactive (with supported aircraft)
Viva Macau,  China, inactive (with supported aircraft)
VivaAeroBus,  Mexico,  76 aircraft 
VivaColombia,  Colombia, inactive (with supported aircraft)
Vizion Air,  Belgium, inactive (with supported aircraft)
Vladivostok Avia,  Russia, inactive (with supported aircraft)
VLM,  Belgium, inactive (with supported aircraft)Renamed / Merged to CityJet
VLM Airlines,  Belgium, inactive (with supported aircraft)
VLM Airlines Slovenia,  Slovenia, inactive (with supported aircraft)
VoePass Linhas Aereas,  Brazil,  13 aircraft 
Volar Airlines,  Spain, inactive (with supported aircraft)
Volare Airlines,  Italy, inactive (with supported aircraft)Renamed / Merged to Alitalia
Volaris,  Mexico,  115 aircraft 
Volaris Costa Rica,  Costa Rica,  5 aircraft 
Volaris El Salvador,  El Salvador,  3 aircraft 
Volga-Dnepr Airlines,  Russia, inactive (with supported aircraft)
Voliamo,  Italy, inactive (with supported aircraft)
Volotea Airlines,  Spain,  41 aircraft 
VOR Airlines,  Venezuela, inactive (with supported aircraft)
Voyage Air,  Bulgaria, inactive (with supported aircraft)
Voyageur Airways,  Canada,  11 aircraft 
VSA Aviation,  South Africa, inactive (with supported aircraft)
Vueling Airlines,  Spain,  122 aircraft 
Vulcan Northwest,  USA, inactive (with supported aircraft)
VVB Aviation,  Malta, inactive (with supported aircraft)
Wamos Air,  Spain,  10 aircraft 
Wanair,  France, inactive (with supported aircraft)
Wardair Canada,  Canada, inactive (with supported aircraft)Renamed / Merged to Canadian Airlines
Wasaya Airways,  Canada,  11 aircraft 
Wat Phnom Airlines,  Cambodia, inactive (with supported aircraft)
Wataniya Airways,  Kuwait, inactive (with supported aircraft)
Wayraperu,  Peru, inactive (with supported aircraft)
WDL Aviation,  Germany, inactive (with supported aircraft)Renamed / Merged to German Airways
WebJet,  Brazil, inactive (with supported aircraft)
WeGo Air,  Russia, inactive (with supported aircraft)
